title,authors,year,description,url,citations,clean_title,type,cluster,word_count,char_count,category,domain,publisher,path,query_params,doi,extension
The finance uncertainty multiplier,"I Alfaro, N Bloom, X Lin",2024.0,"We show how real and financial frictions amplify, prolong, and propagate the negative impact 
of uncertainty shocks. We use a novel instrumentation strategy to address endogeneity in …",https://www.journals.uchicago.edu/doi/full/10.1086/726230,407,uncertainty multiplier,,0,2,21,finance,journals.uchicago.edu,University of Chicago Press,/doi/full/10.1086/726230,{},10.1086/726230,
The finance of local government,NP Hepworth,2024.0,"Originally published in 1970 this book quickly became a classic textbook. This edition reissues 
the 7th edition of 1984. An indispensable text for students, local government employees …",https://books.google.com/books?hl=en&lr=&id=kFczEQAAQBAJ&oi=fnd&pg=PP1&dq=finance&ots=AHDqaBlLLT&sig=OshgXxGNoT2KTGKJcmHCrz8SnCU,176,local government,BOOK,0,2,15,finance,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['kFczEQAAQBAJ'], 'oi': ['fnd'], 'pg': ['PP1'], 'dq': ['finance'], 'ots': ['AHDqaBlLLT'], 'sig': ['OshgXxGNoT2KTGKJcmHCrz8SnCU']}",,
Mathematics for economics and finance: methods and modelling,"M Anthony, N Biggs",2024.0,"Accessible, concise, and interactive, this book introduces the mathematical methods that are 
indispensable in economics and finance. Fully updated to be as student friendly as possible…",https://books.google.com/books?hl=en&lr=&id=xWAJEQAAQBAJ&oi=fnd&pg=PA1&dq=finance&ots=vam_WaipXt&sig=tDPz-tLnm-sd4j_EeXEpEhx0eHg,95,mathematics economics methods modelling,BOOK,0,4,36,finance,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['xWAJEQAAQBAJ'], 'oi': ['fnd'], 'pg': ['PA1'], 'dq': ['finance'], 'ots': ['vam_WaipXt'], 'sig': ['tDPz-tLnm-sd4j_EeXEpEhx0eHg']}",,
The technology of decentralized finance (DeFi),"R Auer, B Haslhofer, S Kitzler, P Saggese, F Victor",2024.0,"Decentralized Finance (DeFi) is a new financial paradigm that leverages distributed ledger 
technologies to offer services such as lending, investing, or exchanging cryptoassets without …",https://link.springer.com/article/10.1007/s42521-023-00088-8,91,technology decentralized defi,,3,3,27,finance,link.springer.com,Springer,/article/10.1007/s42521-023-00088-8,{},10.1007/s42521,
Personal finance,VL Bajtelsmit,2024.0,"Personal Finance, 3rd Edition offers essential skills and knowledge that will set students on 
the road to lifelong financial wellness. Byfocusing on real-world decision making, Bajtelsmit …",https://books.google.com/books?hl=en&lr=&id=SNjzEAAAQBAJ&oi=fnd&pg=PA4&dq=finance&ots=eIpdOqYZkQ&sig=BM--bAJ9ifrK-j__04ZZlU4rijk,36,personal,BOOK,7,1,8,finance,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['SNjzEAAAQBAJ'], 'oi': ['fnd'], 'pg': ['PA4'], 'dq': ['finance'], 'ots': ['eIpdOqYZkQ'], 'sig': ['BM--bAJ9ifrK-j__04ZZlU4rijk']}",,
Sustainable finance research: review and agenda,"M Singhania, G Chadha",2024.0,"… finance to prevent greenwashing, the impact of climate change and climate finance on 
sustainable finance… renewable energy finance, SDG finance, social finance, transition finance and …",https://onlinelibrary.wiley.com/doi/abs/10.1002/ijfe.2854,27,sustainable research review agenda,,4,4,31,finance,onlinelibrary.wiley.com,Wiley Online Library,/doi/abs/10.1002/ijfe.2854,{},,2854
A scoping review of ChatGPT research in accounting and finance,"MM Dong, TC Stratopoulos, VX Wang",2024.0,"This paper provides a review of recent publications and working papers on ChatGPT and 
related Large Language Models (LLMs) in accounting and finance. The aim is to understand …",https://www.sciencedirect.com/science/article/pii/S1467089524000484,23,scoping review chatgpt research accounting,HTML,4,5,38,finance,sciencedirect.com,ScienceDirect (Elsevier),/science/article/pii/S1467089524000484,{},,
What is forensic finance?,"JM Griffin, S Kruger",2024.0,"… a financial nature or related finance. We define the field of forensic finance as the examination 
of … , and the term forensic finance does not have a settled definition. Investigative forensic …",https://www.nowpublishers.com/article/Details/FIN-073,19,forensic,,0,1,8,finance,nowpublishers.com,Now Publishers,/article/Details/FIN-073,{},,
How digital finance shapes residents' health: evidence from China,"L Liao, M Du",2024.0,"… finance affects residents' overall and mental health. Findings show that increasing digital 
finance is … The possible channels through which digital finance plays a critical role in enhancing …",https://www.sciencedirect.com/science/article/pii/S1043951X24001354,18,digital shapes residents health evidence china,,2,6,41,finance,sciencedirect.com,ScienceDirect (Elsevier),/science/article/pii/S1043951X24001354,{},,
Fundamentals of corporate finance,"RA Brealey, SC Myers, AJ Marcus",2023.0,"This book is an introduction to corporate finance focusing on how companies invest in real 
assets, how they raise the money to pay for the investments, and how those assets ultimately …",https://thuvienso.hoasen.edu.vn/handle/123456789/13075,2830,fundamentals corporate,BOOK,8,2,21,finance,thuvienso.hoasen.edu.vn,Hoa Sen University Digital Library,/handle/123456789/13075,{},,
